1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;390;390;180;180;163;163;0;0;168;168;168;168;411;411;968;968;766;766;968;968;766;766;163;163;1108;1108;953;953;1108;1108;674;674;674;674;674;674;1108;1108;1108;1108
264;338;338;182;182;164;164;164;164;164;164;170;170;371;371;481;481;674;674;757;757;481;481;164;164;879;879;858;858;1108;1108;626;626;626;626;626;626;1108;1108;1108;1108
769;400;400;170;170;165;165;165;165;165;165;170;170;430;430;698;698;698;698;968;968;698;698;165;165;978;978;747;747;1108;1108;747;747;747;747;978;978;1108;1108;1108;1108
1062;183;329;180;180;0;165;0;0;0;165;0;169;0;487;602;602;686;686;877;877;0;0;0;165;936;936;936;936;1108;1108;627;627;140;627;627;627;1108;1108;1108;1108
1163;265;283;163;163;0;146;0;0;0;146;0;146;0;288;0;0;0;421;0;570;0;0;146;146;840;840;585;585;417;417;371;371;371;371;417;417;1108;1108;1108;1108
1210;385;385;182;182;164;164;164;164;164;164;170;170;496;496;229;229;562;562;667;667;747;747;0;0;1108;1108;627;627;1108;1108;597;597;597;597;1108;1108;1108;1108;1108;1108
2315;128;313;178;178;152;152;0;0;152;152;152;152;417;417;417;417;604;604;805;805;417;417;152;152;835;835;835;835;835;835;835;835;423;423;423;423;1108;1108;818;818
3567;374;374;180;180;0;165;0;0;0;165;0;165;0;506;0;678;0;737;0;968;0;713;0;165;140;1108;140;404;140;1108;140;668;140;668;140;668;140;1108;140;1108
4315;373;373;182;182;177;177;0;0;167;167;167;167;375;375;561;561;513;513;746;746;513;513;165;165;734;734;634;634;734;734;519;519;519;519;519;519;1108;1108;1108;1108
4810;177;315;167;167;0;164;0;0;0;155;0;155;0;227;0;407;278;557;381;757;0;227;0;164;332;523;332;523;515;884;332;523;326;512;488;836;488;836;488;836
5012;307;307;166;182;155;155;155;155;161;161;165;165;195;195;356;356;517;517;968;968;482;482;155;155;605;605;307;307;307;307;307;307;307;307;348;348;1108;1108;730;730
5163;263;263;168;168;163;163;0;0;163;163;163;163;460;460;461;461;618;618;968;968;809;809;163;163;728;728;552;552;1108;1108;552;552;552;552;1108;1108;1108;1108;1108;1108
5315;299;299;168;168;159;159;159;159;159;159;170;170;360;360;565;565;759;759;968;968;809;809;159;159;1108;1108;572;572;1108;1108;288;288;288;288;949;949;1108;1108;1108;1108
5517;291;291;177;177;164;164;164;164;164;164;170;170;273;273;467;467;564;564;887;887;483;483;162;162;1108;1108;535;535;1108;1108;355;355;355;355;535;535;1108;1108;1108;1108
5810;282;282;168;168;162;162;162;162;162;162;170;170;512;512;467;467;502;502;748;748;504;504;0;0;539;539;539;539;539;539;475;475;475;475;475;475;680;680;1108;1108
6012;293;293;181;181;162;162;162;162;162;162;168;168;373;373;482;482;587;587;893;893;190;190;162;162;975;975;683;683;683;683;683;683;331;331;417;417;1108;1108;1108;1108
6062;250;250;182;182;165;165;165;165;165;165;165;165;307;307;407;407;431;431;885;885;601;601;165;165;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449
6416;265;265;150;150;142;142;44;44;0;0;142;142;213;213;224;224;224;224;269;269;418;418;0;0;392;400;357;357;596;604;349;357;349;349;349;349;680;680;680;680
6517;259;259;173;173;162;162;162;162;162;162;162;162;204;204;326;326;346;346;407;407;322;322;162;162;486;486;266;266;266;266;334;334;266;266;266;266;680;680;680;680
6618;258;258;182;182;155;155;155;155;155;155;155;155;195;195;404;404;383;383;697;697;545;545;155;155;478;478;478;478;478;478;306;306;340;340;340;340;1108;1108;960;960
6769;282;282;160;160;162;162;44;44;162;162;162;162;192;192;288;288;446;446;454;454;533;533;162;162;400;400;333;333;333;333;337;337;337;337;337;337;680;680;788;788
