provider;state;indicator;indicator_value
AMDM;MONTEVIDEO;MG;0
AMDM;MONTEVIDEO;MFYC;0
AMDM;MONTEVIDEO;Pediatría;0
AMDM;MONTEVIDEO;Gine;0
AMDM;MONTEVIDEO;AE;0
AMDM;MONTEVIDEO;LE;0
AMDM;ARTIGAS;MG;0
AMDM;ARTIGAS;MFYC;0
AMDM;ARTIGAS;Pediatría;0
AMDM;ARTIGAS;Gine;0
AMDM;ARTIGAS;AE;0
AMDM;ARTIGAS;LE;0
AMDM;CANELONES;MG;0
AMDM;CANELONES;MFYC;0
AMDM;CANELONES;Pediatría;0
AMDM;CANELONES;Gine;0
AMDM;CANELONES;AE;0
AMDM;CANELONES;LE;0
AMDM;CERRO LARGO;MG;0
AMDM;CERRO LARGO;MFYC;0
AMDM;CERRO LARGO;Pediatría;0
AMDM;CERRO LARGO;Gine;0
AMDM;CERRO LARGO;AE;0
AMDM;CERRO LARGO;LE;0
AMDM;COLONIA;MG;0
AMDM;COLONIA;MFYC;0
AMDM;COLONIA;Pediatría;0
AMDM;COLONIA;Gine;0
AMDM;COLONIA;AE;0
AMDM;COLONIA;LE;0
AMDM;DURAZNO;MG;0
AMDM;DURAZNO;MFYC;0
AMDM;DURAZNO;Pediatría;0
AMDM;DURAZNO;Gine;0
AMDM;DURAZNO;AE;0
AMDM;DURAZNO;LE;0
AMDM;FLORES;MG;0
AMDM;FLORES;MFYC;0
AMDM;FLORES;Pediatría;0
AMDM;FLORES;Gine;0
AMDM;FLORES;AE;0
AMDM;FLORES;LE;0
AMDM;FLORIDA;MG;0
AMDM;FLORIDA;MFYC;0
AMDM;FLORIDA;Pediatría;0
AMDM;FLORIDA;Gine;0
AMDM;FLORIDA;AE;0
AMDM;FLORIDA;LE;0
AMDM;LAVALLEJA;MG;0
AMDM;LAVALLEJA;MFYC;0
AMDM;LAVALLEJA;Pediatría;0
AMDM;LAVALLEJA;Gine;0
AMDM;LAVALLEJA;AE;0
AMDM;LAVALLEJA;LE;0
AMDM;MALDONADO;MG;1.89
AMDM;MALDONADO;MFYC;0.04
AMDM;MALDONADO;Pediatría;4.31
AMDM;MALDONADO;Gine;0.92
AMDM;MALDONADO;AE;6.53
AMDM;MALDONADO;LE;0
AMDM;PAYSANDÚ;MG;0
AMDM;PAYSANDÚ;MFYC;0
AMDM;PAYSANDÚ;Pediatría;0
AMDM;PAYSANDÚ;Gine;0
AMDM;PAYSANDÚ;AE;0
AMDM;PAYSANDÚ;LE;0
AMDM;RÍO NEGRO;MG;0
AMDM;RÍO NEGRO;MFYC;0
AMDM;RÍO NEGRO;Pediatría;0
AMDM;RÍO NEGRO;Gine;0
AMDM;RÍO NEGRO;AE;0
AMDM;RÍO NEGRO;LE;0
AMDM;RIVERA;MG;0
AMDM;RIVERA;MFYC;0
AMDM;RIVERA;Pediatría;0
AMDM;RIVERA;Gine;0
AMDM;RIVERA;AE;0
AMDM;RIVERA;LE;0
AMDM;ROCHA;MG;0
AMDM;ROCHA;MFYC;0
AMDM;ROCHA;Pediatría;0
AMDM;ROCHA;Gine;0
AMDM;ROCHA;AE;0
AMDM;ROCHA;LE;0
AMDM;SALTO;MG;0
AMDM;SALTO;MFYC;0
AMDM;SALTO;Pediatría;0
AMDM;SALTO;Gine;0
AMDM;SALTO;AE;0
AMDM;SALTO;LE;0
AMDM;SAN JOSÉ;MG;0
AMDM;SAN JOSÉ;MFYC;0
AMDM;SAN JOSÉ;Pediatría;0
AMDM;SAN JOSÉ;Gine;0
AMDM;SAN JOSÉ;AE;0
AMDM;SAN JOSÉ;LE;0
AMDM;SORIANO;MG;0
AMDM;SORIANO;MFYC;0
AMDM;SORIANO;Pediatría;0
AMDM;SORIANO;Gine;0
AMDM;SORIANO;AE;0
AMDM;SORIANO;LE;0
AMDM;TACUAREMBÓ;MG;0
AMDM;TACUAREMBÓ;MFYC;0
AMDM;TACUAREMBÓ;Pediatría;0
AMDM;TACUAREMBÓ;Gine;0
AMDM;TACUAREMBÓ;AE;0
AMDM;TACUAREMBÓ;LE;0
AMDM;TREINTA Y TRES;MG;0
AMDM;TREINTA Y TRES;MFYC;0
AMDM;TREINTA Y TRES;Pediatría;0
AMDM;TREINTA Y TRES;Gine;0
AMDM;TREINTA Y TRES;AE;0
AMDM;TREINTA Y TRES;LE;0
AMEDRIN;MONTEVIDEO;MG;0
AMEDRIN;MONTEVIDEO;MFYC;0
AMEDRIN;MONTEVIDEO;Pediatría;0
AMEDRIN;MONTEVIDEO;Gine;0
AMEDRIN;MONTEVIDEO;AE;0
AMEDRIN;MONTEVIDEO;LE;0
AMEDRIN;ARTIGAS;MG;0
AMEDRIN;ARTIGAS;MFYC;0
AMEDRIN;ARTIGAS;Pediatría;0
AMEDRIN;ARTIGAS;Gine;0
AMEDRIN;ARTIGAS;AE;0
AMEDRIN;ARTIGAS;LE;0
AMEDRIN;CANELONES;MG;0
AMEDRIN;CANELONES;MFYC;0
AMEDRIN;CANELONES;Pediatría;0
AMEDRIN;CANELONES;Gine;0
AMEDRIN;CANELONES;AE;0
AMEDRIN;CANELONES;LE;0
AMEDRIN;CERRO LARGO;MG;0
AMEDRIN;CERRO LARGO;MFYC;0
AMEDRIN;CERRO LARGO;Pediatría;0
AMEDRIN;CERRO LARGO;Gine;0
AMEDRIN;CERRO LARGO;AE;0
AMEDRIN;CERRO LARGO;LE;0
AMEDRIN;COLONIA;MG;0
AMEDRIN;COLONIA;MFYC;0
AMEDRIN;COLONIA;Pediatría;0
AMEDRIN;COLONIA;Gine;0
AMEDRIN;COLONIA;AE;0
AMEDRIN;COLONIA;LE;0
AMEDRIN;DURAZNO;MG;0
AMEDRIN;DURAZNO;MFYC;0
AMEDRIN;DURAZNO;Pediatría;0
AMEDRIN;DURAZNO;Gine;0
AMEDRIN;DURAZNO;AE;0
AMEDRIN;DURAZNO;LE;0
AMEDRIN;FLORES;MG;0
AMEDRIN;FLORES;MFYC;0
AMEDRIN;FLORES;Pediatría;0
AMEDRIN;FLORES;Gine;0
AMEDRIN;FLORES;AE;0
AMEDRIN;FLORES;LE;0
AMEDRIN;FLORIDA;MG;0
AMEDRIN;FLORIDA;MFYC;0
AMEDRIN;FLORIDA;Pediatría;0
AMEDRIN;FLORIDA;Gine;0
AMEDRIN;FLORIDA;AE;0
AMEDRIN;FLORIDA;LE;0
AMEDRIN;LAVALLEJA;MG;0
AMEDRIN;LAVALLEJA;MFYC;0
AMEDRIN;LAVALLEJA;Pediatría;0
AMEDRIN;LAVALLEJA;Gine;0
AMEDRIN;LAVALLEJA;AE;0
AMEDRIN;LAVALLEJA;LE;0
AMEDRIN;MALDONADO;MG;0
AMEDRIN;MALDONADO;MFYC;0
AMEDRIN;MALDONADO;Pediatría;0
AMEDRIN;MALDONADO;Gine;0
AMEDRIN;MALDONADO;AE;0
AMEDRIN;MALDONADO;LE;0
AMEDRIN;PAYSANDÚ;MG;0
AMEDRIN;PAYSANDÚ;MFYC;0
AMEDRIN;PAYSANDÚ;Pediatría;0
AMEDRIN;PAYSANDÚ;Gine;0
AMEDRIN;PAYSANDÚ;AE;0
AMEDRIN;PAYSANDÚ;LE;0
AMEDRIN;RÍO NEGRO;MG;2.77
AMEDRIN;RÍO NEGRO;MFYC;0.25
AMEDRIN;RÍO NEGRO;Pediatría;4.51
AMEDRIN;RÍO NEGRO;Gine;2.71
AMEDRIN;RÍO NEGRO;AE;4.48
AMEDRIN;RÍO NEGRO;LE;0
AMEDRIN;RIVERA;MG;0
AMEDRIN;RIVERA;MFYC;0
AMEDRIN;RIVERA;Pediatría;0
AMEDRIN;RIVERA;Gine;0
AMEDRIN;RIVERA;AE;0
AMEDRIN;RIVERA;LE;0
AMEDRIN;ROCHA;MG;0
AMEDRIN;ROCHA;MFYC;0
AMEDRIN;ROCHA;Pediatría;0
AMEDRIN;ROCHA;Gine;0
AMEDRIN;ROCHA;AE;0
AMEDRIN;ROCHA;LE;0
AMEDRIN;SALTO;MG;0
AMEDRIN;SALTO;MFYC;0
AMEDRIN;SALTO;Pediatría;0
AMEDRIN;SALTO;Gine;0
AMEDRIN;SALTO;AE;0
AMEDRIN;SALTO;LE;0
AMEDRIN;SAN JOSÉ;MG;0
AMEDRIN;SAN JOSÉ;MFYC;0
AMEDRIN;SAN JOSÉ;Pediatría;0
AMEDRIN;SAN JOSÉ;Gine;0
AMEDRIN;SAN JOSÉ;AE;0
AMEDRIN;SAN JOSÉ;LE;0
AMEDRIN;SORIANO;MG;0
AMEDRIN;SORIANO;MFYC;0
AMEDRIN;SORIANO;Pediatría;0
AMEDRIN;SORIANO;Gine;0
AMEDRIN;SORIANO;AE;0
AMEDRIN;SORIANO;LE;0
AMEDRIN;TACUAREMBÓ;MG;0
AMEDRIN;TACUAREMBÓ;MFYC;0
AMEDRIN;TACUAREMBÓ;Pediatría;0
AMEDRIN;TACUAREMBÓ;Gine;0
AMEDRIN;TACUAREMBÓ;AE;0
AMEDRIN;TACUAREMBÓ;LE;0
AMEDRIN;TREINTA Y TRES;MG;0
AMEDRIN;TREINTA Y TRES;MFYC;0
AMEDRIN;TREINTA Y TRES;Pediatría;0
AMEDRIN;TREINTA Y TRES;Gine;0
AMEDRIN;TREINTA Y TRES;AE;0
AMEDRIN;TREINTA Y TRES;LE;0
AMSJ;MONTEVIDEO;MG;0
AMSJ;MONTEVIDEO;MFYC;0
AMSJ;MONTEVIDEO;Pediatría;0
AMSJ;MONTEVIDEO;Gine;0
AMSJ;MONTEVIDEO;AE;0
AMSJ;MONTEVIDEO;LE;0
AMSJ;ARTIGAS;MG;0
AMSJ;ARTIGAS;MFYC;0
AMSJ;ARTIGAS;Pediatría;0
AMSJ;ARTIGAS;Gine;0
AMSJ;ARTIGAS;AE;0
