ID,Título,CIE 9,Información,Normativa,Normativa URL,SNOMED
1,Modalidades de atención médica,,Se entiende por modalidad de atención la organización de los recursos destinados a la atención de los pacientes de acuerdo a sus necesidades asistenciales.,,,
1.a,Atención en internación,,"Es la modalidad de atención destinada a los individuos que por las características de su proceso patológico requieren cuidados médicos y de enfermería permanentes.
 
 La atención en internación puede realizarse en el propio domicilio del paciente o en el ámbito institucional.
 
 Internación institucional: es la modalidad de internación en la que los cuidados asistenciales permanentes se desarrollan en sanatorio institucional/hospital, propio o contratado.
 
 En esta última modalidad se consideran distintos niveles de cuidado según el tipo de paciente y sus necesidades en atención médica, y las características de la oferta de servicios.",,,
1.a.1,Cuidados Básicos,,"Sector destinado a la atención de pacientes crónicos o en etapa preclínica o de convalescencia, en período evolutivo NO crítico, con escasa dependencia y autosuficiente, y/o con estabilidad de parámetros fisiológicos y compromiso mínimo de uno o más sistemas, y en situación de bajo riesgo de complicaciones. Se incluye en este nivel de cuidados aquellos pacientes crónicos que requieren cuidados permanentes mínimos en los que las alternativas terapéuticas son de carácter meramente paliativo. Sólo se considerará como cuidados básicos aquellos sectores de internación específicamente diseñados y destinados a tal fin, tales como sector destinado a adultos Mayores de alto riesgo, o pacientes geriátricos, o sectores destinados específicamente a cuidados paliativos, a los que se les haya asignado un número de camas de dotación predefinido.",,,
1.a.2,Cuidados moderados (en habitación semi-privada),,"Sector destinado a pacientes en etapa aguda, en período no crítico, con escasa dependencia y estabilidad de parámetros, con compromiso moderado de uno o más sistemas y en situación de riesgo de complicaciones. Sólo se considerarán los sectores destinados a la internación de este tipo de pacientes, y a los que se les haya asignado un número específico de camas de internación. Se trata del sector de internación convencional.",,,
1.a.3,Cuidados especiales: intermedios e intensivos (aislamiento),,,,,
1.a.3.1,Cuidados Intermedios,,"Sector destinado a pacientes en etapa aguda, en período no crítico, con dependencia marcada, estabilidad de parámetros sin compromiso severo de uno o más sistemas, con riesgo moderado de complicaciones pero sin riesgo de muerte inminente.",,,
1.a.3.2,Cuidados Intensivos,,"Sector destinado a pacientes en etapa aguda, período crítico, muy dependientes, con inestabilidad de parámetros fisiológicos y compromiso severo de uno o más sistemas, con alto riego de complicaciones y riesgo de muerte.
 Se considerarán globalmente los sectores de cuidados intermedios e intensivos, los cuales deben corresponder a sectores de internación específicamente destinados a estos fines con un número determinado de camas asignadas.",,,
1.a.4,Internación Psiquiátrica,,"Internación Psiquiátrica con un máximo de 30 días por año calendario, excepto convenios en contrario suscritos por el FONASA y los prestadores integrales.",,,
1.a.5,Internación Domiciliaria (opcional),,"Es la modalidad de internación en la que los cuidados asistenciales permanentes se instrumentan en el domicilio del paciente, dentro del marco de un programa específico definido por la institución de acuerdo a la normativa del MSP.",,,
1.b,Atención Ambulatoria,,"Es la modalidad de actuación realizada por uno o más del equipo de salud a pacientes en régimen de no internación, ya sea en el ámbito institucional o en domicilio.",,,
1.b.1,Coordinada en Consultorio,,,,,
1.b.1.1,Consultas en Consulta Externa (Policlínica),,"Es aquella consulta médica que se desarrolla en policlínicas, centros de salud, policlínicas Integrales y policlínicas de los sanatorios y hospitales.
 
 Se entiende por Consulta Ambulatoria Coordinada la atención médica y de otros profesionales, no urgente, que se brinda mediante horas fijas de consulta programada, o a requerimiento en el caso de médico especialista referente o consultante. Este tipo de atención podrá ser brindada en consultorios institucionales o en consultorios propios del profesional o grupo de profesionales.
 
 Los plazos máximos de espera en esta modalidad de atención son los siguientes:
 
 - 24 horas para las consultas de Medicina General, Pediatría y Ginecotocología.
 - 48 horas para las consultas de Cirugía General.
 - Un mes para el resto de las especialidades médicas y quirúrgicas.",,,
1.b.2,"Coordinada en Domicilio, salvo en zonas rurales",,Consultas en domicilio no urgentes (de radio): es aquella consulta coordinada no urgente que se realiza a través de médicos generales de adultos o por pediatras en el domicilio de los pacientes.,,,
1.b.3,Urgencia y Emergencia Institucional o Centralizada,,Consulta en urgencia centralizada: es aquella que se realiza en el servicio de Urgencia o Emergencia de la Institución.,,,
1.b.4,"Urgencia a domicilio, salvo en zonas rurales.",,Consulta de urgencia en domicilio: es aquella que realizan los médicos de guardia (interna o a retén) para la atención de llamados domiciliarios de urgencia con móvil propio o institucional.,,,
1.b.5,Asistencia en situaciones de urgencia y emergencia en todo el territorio nacional,,"Se establece y reconoce el derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional, a todos los habitantes residentes, la que deberá ser brindada por todos los prestadores integrales públicos o privados, integrados o no al Seguro Nacional de Salud (Ley 19.535.Arts. 145-149).",Ley 19.535 (art.145-149),http://www.impo.com.uy/bases/leyes/19535-2017,
1.b.6,Cirugía ambulatoria,,Procedimientos quirúrgicos menores ambulatorios: se entiende por tales todos aquellos procedimientos cuya realización no requiere internación ni uso de block quirúrgico.,,,
1.c,Cuidados paliativos,,"Podrán ser brindados en internación sanatorial, en internación domiciliaria o en atención ambulatoria en domicilio.",,,
1.d,Prestaciones vinculadas a la atención de pacientes con consumo problemático de drogas,,"Comprende:
 - Apoyo y Orientación Telefónica o presencial, accesible las 24 horas del día.
 - Servicio de atención ambulatoria específico, integrado por un equipo multidisciplinario, que funcione no menos de tres veces por semana, para la atención individual y/o grupal y/o familiar.
 - Servicio de internación para la atención de la intoxicación severa con drogas independiente de la internación psiquiátrica.",,,
1.e,Prestaciones y servicios incluidos a traves de Leyes y Decretos específicos,,,,,
1.e.1,Control del Tabaquismo,,"Los servicios de salud públicos y privados incorporarán el diagnóstico y el tratamiento de la dependencia del tabaco en sus programas, planes y estrategias nacionales de atención primaria de la salud, promoviendo los tratamientos de rehabilitación y dependencia.",Ley 18.256 (art. 10),http://www.impo.com.uy/bases/leyes/18256-2008,
1.e.2,Reproducción humana asistida,,"La Ley Nº 19.167 y el decreto 84/015 establecen la inclusión de las técnicas de reproducción humana asistida dentro de las prestaciones del Sistema Nacional Integrado de Salud con el alcance que establece la norma. Comprende los procedimientos de reproducción asistida de alta y de baja complejidd.
 
 De esta forma se definen que las técnicas o procedimientos de baja complejidad como aquellos procedimientos en función de los cuales la unión entre el óvulo y espermatozoide se realiza dentro del aparato genital femenino.
 
 - Dichas técnicas o procedimientos quedan comprendidos dentro de los programas integrales de asistencia que deben brindar las entidades públicas y privadas que integran el Sistema Nacional Integrado de Salud y serán financiados por este, cuando la mujer no sea mayor de 40 años.
 
 Las técnicas o procedimientos de alta complejidad son aquellas en virtud de las cuales la unión entre óvulo y espermatozoide tiene lugar fuera del aparato genital femenino, transfiriéndose a este los embriones resultantes, sean estos criopreservados o no.
 
 - Dichas técnicas o procedimientos serán parcial o totalmente subsidiados hasta un máximo de tres intentos, a través del Fondo Nacional de Recursos con el alcance y condiciones que establecerá la reglamentación a dictarse por el Poder Ejecutivo.
 
 Las prestaciones a brindarse incluyen los estudios necesarios para el diagnóstico de la infertilidad así como el tratamiento, material de uso médico descartable y otros estudios que se requieran, el asesoramiento y la realización de los procedimientos terapéuticos de reproducción humana asistida de alta y baja complejidad, las posibles complicaciones que se presenten y la medicación correspondiente en todos los casos.
 
 Según el decreto 84/015 los estudios necesarios para el diagnóstico de la infertilidad son los establecidos en el Capítulo 3.n. (Procedimientos de diagnóstico / Procedimientos de Salud Sexual y Reproductiva. Estudios diagnósticos de las disfunciones sexuales y de esterilidad/ infertilidad).
 
 Los prestadores integrales de salud deberán asegurar la continuidad asistencial en todos los casos, tanto cuando el procedimiento resulte exitoso, como cuando en su transcurso o a posteriori surjan complicaciones.","Ley 19.167, Decreto 84/015",http://www.impo.com.uy/bases/leyes/19167-2013,
1.e.3,Salud mental,,"Comprende las prestaciones que se detallan en el Anexo que forma parte del “Plan de Implementación de Prestaciones en Salud Mental en el Sistema Nacional Integrado de Salud”, aprobado por el Ministerio de Salud Pública, de acuerdo al Decreto 305/011.
 Se distinguen tres MODOS de abordaje. Modo 1, Modo 2 y Modo 3.
 
 Los prestadores integrales deberán asegurar en adultos:
 
 - En el MODO 1 la atención en grupo con carácter gratuito y hasta 16 sesiones anuales para cada usuario.
 - En el MODO 2 asegurarán la atención individual, de pareja, familia o grupal, hasta 48 sesiones anuales para cada usuario y con un copago preestablecido.
 - En el MODO 3 asegurarán la atención individual y/o grupal, hasta 48 sesiones anuales para cada usuario, con un copago menor al establecido en el modo 2. La prestación podrá renovarse hasta 144 sesiones.
 
 Los prestadores integrales deberán asegurar en niños y adolescentes:
 
 - En el MODO 1 los prestadores integrales asegurarán la atención en grupo con carácter gratuito y hasta 12 sesiones anuales para cada usuario.
 - En el MODO 2 asegurarán la atención individual, grupal o de familia, hasta 24 sesiones anuales para cada usuario y con un copago preestablecido.
 - En el MODO 3 asegurarán la atención individual y/o grupal, hasta 48 sesiones anuales para cada usuario, con un copago menor al establecido en el nivel 2. En situaciones de discapacidad física, mental o trastorno del espectro autista, la prestación podrá extenderse a 144 sesiones.
 
 Los detalles sobre las poblaciones objetivos que comprende cada modalidad se detallan en la sección dedicada a la normativa.",Decreto 305/011,http://www.impo.com.uy/bases/decretos/305-2011,
1.e.4,Servicios de Salud Sexual y Reproductiva,,"De acuerdo a la Ley Nº 18.426 y su decreto reglamentario Decreto Nº 293/010, los prestadores del Sistema nacional integrado de salud deberán contar con servicios de salud sexual y reproductiva en general y de anticoncepción reversibles e irreversibles que se organizaràn según lo establece el decreto.
 
 - Colocación de Dispositivo Intrauterino (Decreto N° 292/012)
 - Ligadura Tubaria por via laparoscópica
 - Vasectomía","Ley 18.426, Decreto 293/010",http://www.impo.com.uy/bases/leyes/18426-2008,
1.e.5,Interrupción voluntaria del embarazo,,Todas las instituciones del Sistema Nacional Integrado de Salud tendrán la obligación de cumplir con los servicios y procedimientos establecidos en la Ley 18.987 sobre Interrupción voluntaria del embarazo y su Decreto reglamentario Nº 375/012.,"Ley 18.987, Decreto 375/012",http://www.impo.com.uy/bases/leyes/18987-2012,
1.e.6,"Detección obligatoria de hipotiroidismo congénito, fenilcetonuria, hiperplasia suprarrenal congénita, fibrosis quística, acil.coa dehidrogenasa de cadena media",,"De acuerdo al Decreto N° 325/013 las Instituciones de Asistencia en Salud, públicas o privadas de todo el país donde se producen nacimientos, deberán: I) realizar la extracción y envío de las Muestras al Laboratorio de Pesquisa Neonatal del Banco de Previsión Social para evitar demoras en el inicio de tratamiento de los recién nacidos que así lo requieran; y II) notificar los casos confirmados al Registro Nacional de Defectos Congénitos y Enfermedades Raras (RNDCER).",Decreto 325/013,http://www.impo.com.uy/bases/decretos/325-2013,
1.e.7,Derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional,,"De acuerdo a la Ley N° 19535 Rendición de cuentas y balance de ejecucion presupuestal ejercicio 2016 se establece y reconoce el derecho a la asistencia en situaciones de urgencia y emergencia en todo el territorio nacional, a todos los habitantes residentes, la que deberá ser brindada por todos los prestadores integrales públicos o privados, integrados o no al Seguro Nacional de Salud.",Ley 19.535,http://www.impo.com.uy/bases/leyes/19535-2017,
2,"Especialidades médicas, otros profesionales y técnicos para el control y la recuperación",,,,,
2.a,Especialidades médicas,,,,,
2.a.1,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades básicas,,,,,
2.a.1.1,Medicina General y/o Medicina Familiar.,,,,,
2.a.1.2,Cirugía General.,,,,,
2.a.1.3,Ginecotocología.,,,,,
2.a.1.4,Pediatría.,,,,,
2.a.2,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades y/o prestaciones médicas complementarias,,"Se incluirán las nuevas especialidades registradas, según listado a proporcionar por el MSP.",,,
2.a.2.1,Alergología.,,,,,
2.a.2.2,Cardiología,,,,,
2.a.2.3,Dermatología,,,,,
2.a.2.4,Diabetología,,,,,
2.a.2.5,Endocrinología,,,,,
2.a.2.6,Fisiatría,,,,,
2.a.2.7,Gastroenterología,,,,,
2.a.2.8,Geriatría – Gerontología,,,,,
2.a.2.9,Hematología,,,,,
2.a.2.10,Infectología,,,,,
2.a.2.11,Medicina Intensiva de Adultos (solamente hospitalaria),,,,,
2.a.2.12,Medicina Interna,,,,,
2.a.2.13,Medicina Transfusional,,,,,
2.a.2.14,Nefrología,,,,,
2.a.2.15,Neumología,,,,,
2.a.2.16,Neurología,,,,,
2.a.2.17,Oncología,,,,,
2.a.2.18,Psiquiatría,,,,,
2.a.2.19,Reumatología,,,,,
2.a.2.20,Terapia del Dolor,,,,,
2.a.3,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades quirúrgicas complementarias,,,,,
2.a.3.1,Anatomía Patológica,,,,,
2.a.3.2,Anestesiología.,,,,,
2.a.3.3,Cirugía Bucomaxilofacial.,,,,,
2.a.3.4,Cirugía Plástica Reparadora.,,,,,
2.a.3.5,Cirugía Toráxica.,,,,,
2.a.3.6,Cirugía Vascular.,,,,,
2.a.3.7,Neurocirugía.,,,,,
2.a.3.8,Oftalmología.,,,,,
2.a.3.9,Otorrinolaringología.,,,,,
2.a.3.10,Traumatología.,,,,,
2.a.3.11,Urología.,,,,,
2.a.4,Asistencia Ambulatoria Convencional y Asistencia Hospitalaria en las siguientes especialidades y/o prestaciones pediátricas complementarias,,,,,
2.a.4.1,Cardiología,,,,,
2.a.4.2,Cirugía,,,,,
2.a.4.3,Endocrinología,,,,,
2.a.4.4,Gastroenterología,,,,,
2.a.4.5,Hemato-Oncología,,,,,
