1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;319;319;148;148;133;133;0;0;133;133;138;138;336;336;818;818;654;654;818;818;654;654;133;133;990;990;808;808;990;990;546;546;546;546;546;546;990;990;990;990
264;277;277;149;149;134;134;134;134;134;134;139;139;303;303;393;393;551;551;646;646;393;393;134;134;721;721;703;703;990;990;507;507;507;507;507;507;990;990;990;990
567;295;295;148;148;0;0;0;0;0;0;135;135;338;338;599;599;549;549;791;791;549;549;135;135;830;830;678;678;990;990;543;543;543;543;990;990;990;990;990;990
769;327;327;139;139;135;135;135;135;135;135;139;139;351;351;574;574;574;574;788;788;574;574;135;135;830;830;606;606;990;990;606;606;606;606;830;830;990;990;990;990
1062;150;269;147;147;0;135;0;0;0;135;0;138;0;398;492;492;561;561;753;753;0;0;0;135;794;794;794;794;990;990;508;508;110;508;508;508;990;990;990;990
1163;217;232;134;134;0;119;0;0;0;119;0;119;0;236;0;0;0;344;0;466;0;0;119;119;687;687;473;473;336;336;299;299;299;299;336;336;990;990;990;990
1210;315;315;149;149;134;134;134;134;134;134;139;139;406;406;187;187;459;459;545;545;632;632;0;0;941;941;508;508;941;941;483;483;483;483;941;941;990;990;990;990
2315;104;255;146;146;124;124;0;0;124;124;124;124;341;341;341;341;494;494;692;692;341;341;124;124;681;681;681;681;681;681;681;681;341;341;341;341;990;990;664;664
3567;306;306;148;148;0;135;0;0;0;135;0;135;0;413;0;554;0;609;0;810;0;589;0;135;110;990;110;326;110;990;110;541;110;541;110;541;110;990;110;919
4315;305;305;149;149;145;145;0;0;136;136;136;136;306;306;458;458;419;419;622;622;419;419;134;134;595;595;513;513;595;595;419;419;419;419;419;419;990;990;990;990
4810;145;258;136;136;67;134;0;0;63;127;63;127;93;186;166;332;227;455;323;646;93;186;67;134;267;423;267;423;425;740;267;423;262;414;396;682;396;682;682;396
5012;251;251;136;148;127;127;127;127;132;132;134;134;160;160;291;291;422;422;792;792;394;394;127;127;490;490;246;246;246;246;246;246;246;246;280;280;931;931;592;592
5163;215;215;137;137;133;133;0;0;133;133;133;133;376;376;377;377;505;505;828;828;694;694;133;133;590;590;447;447;986;986;447;447;447;447;990;990;990;990;990;990
5315;245;245;137;137;130;130;130;130;130;130;139;139;294;294;462;462;647;647;880;880;695;695;130;130;990;990;463;463;990;990;231;231;231;231;805;805;990;990;990;990
5517;238;238;145;145;134;134;134;134;134;134;139;139;223;223;382;382;460;460;762;762;395;395;134;134;990;990;433;433;990;990;286;286;286;286;433;433;990;990;990;990
5810;231;231;137;137;132;132;132;132;132;132;139;139;418;418;382;382;410;410;633;633;412;412;0;0;436;436;436;436;436;436;383;383;383;383;383;383;551;551;990;990
6012;240;240;148;148;132;132;132;132;132;132;137;137;305;305;394;394;480;480;767;767;155;155;132;132;827;827;554;554;554;554;554;554;266;266;336;336;990;990;904;904
