Institución ;Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años;Cargos de médicos de familia en policlínica cada 10.000 usuarios;Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años;Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años;Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios;Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios;Cantidad de CAD cada 10.000 usuarios ;Cantidad de CAD de Medicina General;Cantidad de CAD de Medicina Familiar;Cantidad de CAD de Pediatría;Cantidad de CAD de Ginecotología;Cantidad de CAD de Medicina Interna;Cantidad de CAD de Medicina Intensiva de Adultos;Cantidad de CAD de Medicina Intensiva Pediátrica;Cantidad de CAD de Neonatología;Cantidad de CAD de Psiquiatría Adultos;Cantidad de CAD de Psiquiatría Pediátrica;Cantidad de CAD de Especialidades Médicas;Cantidad de CAD de Cirugía General;Cantidad de CAD de Medicina de Emergencia Adultos;Cantidad de CAD de Medicina de Emergencia Pediátrica;Cantidad de CAD de Medicina Rural;Cantidad de CAD de Imagenología;Cantidad de CAD de Anestesia;Proporción de trabajadores que realizaron el seminario de capacitación en el 2020
62;28.8;0.0;35.5;11.4;15.5;1.7;5.7;19;0;18;0;11;16;4;8;1;0;25;0;10;0;no corresponde;0;no corresponde;73%
264;16.8;1.7;22.9;9.4;12.6;1.2;5.8;4;2;7;0;0;6;5;5;1;1;2;0;2;0;no corresponde;0;no corresponde;77%
567;11.4;0.0;33.0;7.1;10.3;0.6;5.9;7;0;5;0;1;6;0;0;0;0;3;0;4;0;no corresponde;0;no corresponde;80%
769;11.8;3.0;38.1;6.2;10.5;1.4;5.9;11;9;22;0;27;19;0;7;4;1;12;0;0;0;no corresponde;0;no corresponde;80%
1062;17.2;0.7;31.8;7.7;18.3;0.7;6.0;13;0;10;0;2;11;5;3;4;0;8;0;0;0;no corresponde;0;no corresponde;84%
1163;9.6;0.3;16.6;8.1;5.7;0.2;6.0;14;0;6;1;1;1;0;2;0;0;4;0;2;0;no corresponde;0;no corresponde;86%
1210;12.6;0.4;27.4;9.5;11.7;1.8;6.3;11;1;9;0;12;0;0;0;6;1;21;0;2;0;no corresponde;0;no corresponde;75%
2315;12.9;0.4;31.0;5.8;5.3;0.0;6.6;9;1;8;0;1;0;0;0;0;0;1;0;0;0;no corresponde;0;no corresponde;74%
3567;13.1;0.0;26.7;12.9;3.0;0.2;5.5;37;0;33;0;12;26;5;9;2;4;30;0;11;0;no corresponde;0;no corresponde;89%
4315;7.5;0.4;28.7;6.7;5.1;0.5;4.9;18;0;17;0;1;0;4;0;2;0;16;0;3;0;no corresponde;0;no corresponde;83%
4810;13.1;0.2;20.2;7.1;9.4;0.5;6.2;11;1;9;1;2;0;0;0;1;0;11;0;1;0;no corresponde;1;no corresponde;86%
5012;18.6;0.0;27.5;10.7;9.8;2.0;5.5;4;0;0;0;2;4;0;0;1;0;3;0;0;0;no corresponde;0;no corresponde;90%
5163;22.6;0.3;44.9;8.1;22.2;0.4;5.9;6;0;7;0;1;2;0;0;0;0;5;0;0;0;no corresponde;0;no corresponde;85%
5315;15.1;0.0;28.8;9.5;0.0;0.0;6.2;7;0;8;0;3;3;0;0;1;0;1;0;0;0;no corresponde;0;no corresponde;89%
5517;23.4;0.0;29.3;10.4;7.8;1.2;5.9;7;0;3;1;0;8;1;2;1;0;5;0;0;0;no corresponde;2;no corresponde;86%
