1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
62;296;296;136;136;125;125;0;0;125;125;129;129;314;314;791;791;611;611;791;791;611;611;125;125;979;979;762;762;979;979;507;507;507;507;507;507;979;979;979;979;1.286;1.286
264;257;257;137;137;126;126;126;126;126;126;130;130;283;283;367;367;515;515;604;604;367;367;126;126;670;670;654;654;979;979;470;470;470;470;470;470;979;979;979;979;1.044;1.044
567;274;274;137;137;0;0;0;0;0;0;126;126;316;316;560;560;514;514;766;766;514;514;126;126;796;796;631;631;979;979;504;504;504;504;979;979;979;979;979;979;695;695
769;304;304;128;128;126;126;126;126;126;126;130;130;329;329;537;537;537;537;762;762;537;537;126;126;796;796;563;563;979;979;563;563;563;563;796;796;979;979;979;979;1.329;1.329
1062;138;250;136;136;0;126;0;0;0;126;0;129;0;372;460;460;525;525;729;729;0;0;0;126;743;743;743;743;979;979;471;471;99;471;471;471;979;979;979;979;1.078;1.078
1163;201;215;123;123;111;111;0;0;111;111;111;111;220;111;0;0;0;322;0;436;0;0;111;111;638;638;439;439;311;311;275;275;275;275;311;311;979;979;979;979;715;715
1210;293;293;137;137;125;125;125;125;125;125;130;130;379;379;175;175;429;429;510;510;591;591;0;0;903;903;471;471;903;903;448;448;448;448;903;903;979;979;979;979;1.139;1.139
2315;237;237;134;134;116;116;0;0;116;116;116;116;319;319;319;319;462;462;651;651;319;319;104;104;633;633;633;633;633;633;633;633;315;315;315;315;979;979;617;617;790;1.169
3567;284;284;136;136;0;126;0;0;0;126;0;126;0;386;0;518;0;570;0;783;0;551;0;126;99;979;99;301;99;979;99;502;99;502;99;502;99;979;99;882;770;770
4315;283;283;137;137;135;135;0;0;128;128;128;128;287;287;429;429;392;392;581;581;392;392;126;126;553;553;476;476;553;553;388;388;388;388;388;388;979;979;979;979;1.953;1.953
4810;134;239;126;126;63;126;0;0;59;118;59;118;87;174;155;311;213;425;302;604;87;174;63;126;245;392;245;392;393;688;245;392;241;383;367;634;367;634;367;634;1.394;1.394
5012;233;233;125;137;119;119;119;119;123;123;126;126;149;149;272;272;395;395;766;766;368;368;119;119;454;454;227;227;227;227;227;227;227;227;258;258;894;894;550;550;410;822
5163;199;199;127;127;125;125;0;0;125;125;125;125;125;125;353;353;473;473;802;802;653;653;125;125;548;548;414;414;947;947;414;414;414;414;979;979;979;979;979;979;1;1
5315;227;227;127;127;122;122;122;122;122;122;130;130;275;275;432;432;605;605;880;880;660;660;122;122;979;979;429;429;979;979;212;212;212;212;759;759;979;979;979;979;752;1.093
5517;221;221;133;133;125;125;125;125;125;125;130;130;209;209;357;357;431;431;737;737;369;369;125;125;979;979;401;401;979;979;264;264;264;264;401;401;979;979;979;979;670;670
5810;214;214;126;126;124;124;124;124;124;124;130;130;391;391;357;357;384;384;592;592;385;385;0;0;404;404;404;404;404;404;355;355;355;355;355;355;512;512;979;979;1.097;1.097
6012;222;222;136;136;124;124;124;124;124;124;128;128;285;285;368;368;449;449;742;742;145;145;124;124;793;793;514;514;514;514;514;514;245;245;310;310;979;979;868;868;863;863
