1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;298;298;138;138;125;125;0;0;125;125;129;129;315;315;780;780;614;614;780;780;614;614;125;125;980;980;766;766;980;980;510;510;510;510;510;510;980;980;980;980
264;259;259;138;138;126;126;126;126;126;126;130;130;285;285;369;369;517;517;607;607;369;369;126;126;674;674;657;657;980;980;473;473;473;473;473;473;980;980;980;980
567;277;277;138;138;0;0;0;0;0;0;127;127;318;318;562;562;516;516;755;755;516;516;127;127;787;787;634;634;980;980;506;506;506;506;980;980;980;980;980;980
769;306;306;130;130;126;126;126;126;126;126;130;130;330;330;539;539;539;539;751;751;539;539;126;126;787;787;566;566;980;980;566;566;566;566;787;787;980;980;980;980
1062;140;252;137;137;0;127;0;0;0;127;0;130;0;374;462;462;527;527;719;719;0;0;0;127;747;747;747;747;980;980;474;474;100;474;474;474;980;980;980;980
1163;203;217;124;124;112;112;0;0;112;112;112;112;112;221;0;0;0;323;0;438;0;0;112;112;642;642;441;441;313;313;277;277;277;277;313;313;980;980;980;980
1210;295;295;139;139;126;126;126;126;126;126;130;130;381;381;176;176;431;431;512;512;594;594;0;0;893;893;474;474;893;893;451;451;451;451;893;893;980;980;980;980
2315;97;239;136;136;117;117;0;0;117;117;117;117;320;320;320;320;464;464;654;654;320;320;104;104;637;637;637;637;637;637;637;637;317;317;317;317;980;980;621;621
3567;286;286;138;138;0;127;0;0;0;127;0;127;0;388;0;520;0;572;0;772;0;553;0;127;100;980;100;303;100;980;100;505;100;505;100;505;100;980;100;872
4315;285;285;139;139;136;136;0;0;128;128;128;128;288;288;431;431;394;394;584;584;394;394;126;126;556;556;479;479;556;556;391;391;391;391;391;391;980;980;980;980
4810;135;241;127;127;63;126;0;0;59;119;59;119;87;175;156;312;214;427;303;607;87;175;63;126;247;394;247;394;396;692;247;394;243;386;369;638;369;638;369;638
5012;235;235;126;138;119;119;119;119;124;124;126;126;150;150;273;273;397;397;755;755;370;370;119;119;457;457;228;228;228;228;228;228;228;228;259;259;884;884;553;553
5163;201;201;128;128;125;125;0;0;125;125;125;125;354;354;354;354;475;475;790;790;656;656;125;125;551;551;417;417;936;936;417;417;417;417;980;980;980;980;980;980
5315;229;229;128;128;122;122;122;122;122;122;130;130;277;277;434;434;608;608;880;880;663;663;122;122;980;980;432;432;980;980;214;214;214;214;763;763;980;980;980;980
5517;223;223;135;135;126;126;126;126;126;126;130;130;210;210;359;359;433;433;727;727;371;371;126;126;977;977;403;403;977;977;265;265;265;265;403;403;980;980;977;977
5810;216;216;128;128;124;124;124;124;124;124;130;130;393;393;359;359;385;385;595;595;387;387;0;0;406;406;406;406;406;406;357;357;357;357;357;357;515;515;980;980
6012;224;224;138;138;124;124;124;124;124;124;129;129;287;287;370;370;451;451;732;732;146;146;124;124;785;785;517;517;517;517;517;517;246;246;312;312;980;980;858;858
