Id_Institución ;Nombre abreviado ;Nombre completo;web;FONASA;NO FONASA;TOTAL ;Comunicaciòn en soporte electrònico (pàgina web);existencia de servicio de salud para adolescente s/n
62;ASOCIACION ESPAÑOLA;Asociacion Española Primera de Socorros Mutuos;www.asesp.com.uy;168620;26157;194777;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico.  Precios de tasas moderadoras y Derechos de los usuarios.;si
264;HOSPITAL EVANGELICO;Mutualista Hospital Evangelico;www.hospitalevangelico.com.uy;62820;4403;67223;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;si
769;CASMU IAMPP;CASMU IAMPP Institucion de Asistencia Medica Privada de Profesionales sin fines de lucro;www.casmu.com.uy;160731;23106;183837;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;si
1062;CIRCULO CATOLICO;CCOU Circulo Catolico de Obreros del Uruguay;www.circulocatolico.com.uy;103245;9777;113022;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;si
1163;CUDAM;Centro Uruguayo de Asistencia Medica;www.cudam.com.uy;57758;544;58302;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;no
1210;COSEM IAMPP;COSEM IAMPP;www.cosem.com.uy;90657;9879;100536;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;si
2315;GREMCA;Gremial Medica Centro Asistencial;www.gremca.com.uy;28090;2056;30146;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;no contesta
3567;MEDICA URUGUAYA;MUCAM Medica Uruguaya Corporacion de Asistencia Medica;www.medicauruguaya.com.uy;301355;11091;312446;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico y Derechos de los usuarios. No contiene precios de tasas moderadoras;no
4315;SMI;Servicio Medico Integral ;www.serviciomedicointegral.com.uy;118150;7527;125677;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;no
4810;UNIVERSAL;Universal Sociedad de Produccion Sanitaria;www.sociedadmedicauniversal.com;68030;1810;69840;Contiene nombre, telefono, horarios de atencion, cartelera de servicios, formas de acceso a los servicios, nomina de profesionales, director tecnico. Precios de tasas moderadoras y Derechos de los usuarios.;si
