1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;338;338;157;157;141;141;0;0;141;141;146;146;356;356;855;855;688;688;855;855;688;688;141;141;1000;1000;849;849;1000;1000;582;582;582;582;582;582;1000;1000;1000;1000
264;293;293;158;158;142;142;142;142;142;142;147;147;321;321;416;416;584;584;679;679;416;416;142;142;767;767;749;749;1000;1000;541;541;541;541;541;541;1000;1000;1000;1000
567;313;313;157;157;0;0;0;0;0;0;143;143;359;359;635;635;582;582;827;827;582;582;143;143;873;873;723;723;1000;1000;579;579;579;579;1000;1000;1000;1000;1000;1000
769;347;347;147;147;143;143;143;143;143;143;147;147;373;373;608;608;608;608;823;823;608;608;143;143;872;872;646;646;1000;1000;646;646;646;646;872;872;1000;1000;1000;1000
1062;159;285;156;156;0;143;0;0;0;143;0;146;0;422;522;522;595;595;787;787;0;0;0;143;835;835;835;835;1000;1000;542;542;120;542;542;542;1000;1000;1000;1000
1163;230;246;142;142;0;126;0;0;0;126;0;126;0;250;0;0;0;365;0;494;0;0;126;126;732;732;505;505;360;360;320;320;320;320;360;360;1000;1000;1000;1000
1210;334;334;158;158;142;142;142;142;142;142;147;147;430;430;199;199;487;487;578;578;671;671;0;0;988;988;542;542;988;988;516;516;516;516;988;988;1000;1000;1000;1000
2315;111;271;155;155;132;132;0;0;132;132;132;132;362;362;362;362;523;523;723;723;362;362;132;132;726;726;726;726;726;726;726;726;365;365;365;365;1000;1000;708;708
3567;324;324;157;157;0;143;0;0;0;143;0;143;0;438;0;587;0;646;0;846;0;624;0;143;120;1000;120;349;120;1000;120;577;120;577;448;448;120;1000;120;965
4315;323;323;158;158;153;153;0;0;145;145;145;145;325;325;486;486;444;444;659;659;444;444;143;143;634;634;548;548;634;634;448;448;448;448;448;448;1000;1000;1000;1000
4810;154;274;145;145;71;142;0;0;67;134;67;134;99;197;176;353;241;482;342;679;99;197;71;142;286;452;286;452;454;788;286;452;281;442;423;727;423;727;423;727
5012;266;266;144;158;135;135;135;135;140;140;143;143;169;169;308;308;448;448;828;828;418;418;135;135;523;523;265;265;265;265;265;265;265;265;300;300;978;978;632;632
5163;228;228;146;146;141;141;0;0;141;141;141;141;399;399;400;400;536;536;866;866;726;726;141;141;629;629;477;477;1000;1000;477;477;477;477;1000;1000;1000;1000;1000;1000
5315;260;260;146;146;138;138;138;138;138;138;147;147;312;312;490;490;681;681;880;880;726;726;138;138;1000;1000;494;494;1000;1000;248;248;248;248;846;846;1000;1000;1000;1000
5517;253;253;153;153;142;142;142;142;142;142;147;147;236;236;405;405;488;488;796;796;418;418;141;141;1000;1000;462;462;1000;1000;307;307;307;307;462;462;1000;1000;1000;1000
5810;245;245;146;146;140;140;140;140;140;140;147;147;443;443;405;405;435;435;671;671;437;437;0;0;466;466;466;466;466;466;410;410;410;410;410;410;588;588;1000;1000
